[0.,0.]
[-1.4044806,-0.9407842]
[1.0684444,1.1166308]

-------------------END OF EPISODE-------------------
[-0.3362343 ,-0.24374554]

-------------------END OF EPISODE-------------------
[-0.6934467 ,-0.14465426]

-------------------END OF EPISODE-------------------
[-0.5849774 ,-0.07591601]

-------------------END OF EPISODE-------------------
[-0.62134314, 0.16595152]

-------------------END OF EPISODE-------------------
[ 0.9052699,-0.6837248]

-------------------END OF EPISODE-------------------
[1.64242   ,0.30717874]

-------------------END OF EPISODE-------------------
[-0.3201484,-1.201559 ]

-------------------END OF EPISODE-------------------
[0.18728025,0.8932774 ]

-------------------END OF EPISODE-------------------
[0.526218  ,0.30012766]

-------------------END OF EPISODE-------------------
[-0.49614018, 0.70409983]

-------------------END OF EPISODE-------------------
[-0.21140368, 0.96725535]

-------------------END OF EPISODE-------------------
[-0.8021121,-1.342305 ]

-------------------END OF EPISODE-------------------
[-0.490804  , 0.79350334]

-------------------END OF EPISODE-------------------
[0.45227802,0.5951159 ]

-------------------END OF EPISODE-------------------
[-0.28204718, 0.2956944 ]

-------------------END OF EPISODE-------------------
[-0.03917842, 0.26626456]

-------------------END OF EPISODE-------------------
[0.64177275,2.0155988 ]

-------------------END OF EPISODE-------------------
[-2.986455 , 0.3244086]

-------------------END OF EPISODE-------------------
[-1.3237865, 1.0603777]

-------------------END OF EPISODE-------------------
[ 0.84510654,-0.211495  ]

-------------------END OF EPISODE-------------------
[-0.18395357, 0.11651113]

-------------------END OF EPISODE-------------------
[-1.1949878 ,-0.63735014]

-------------------END OF EPISODE-------------------
[0.7001928 ,0.17583194]

-------------------END OF EPISODE-------------------
[-0.37460232, 0.9205489 ]

-------------------END OF EPISODE-------------------
[-0.9770804, 0.7053502]

-------------------END OF EPISODE-------------------
[2.1487012,1.2479156]

-------------------END OF EPISODE-------------------
[0.05925905,0.03468988]

-------------------END OF EPISODE-------------------
[ 1.6798462,-0.9586391]

-------------------END OF EPISODE-------------------
[-2.0099373 , 0.55726737]

-------------------END OF EPISODE-------------------
[ 0.21189971,-0.80286634]

-------------------END OF EPISODE-------------------
[-0.28031123, 1.3855888 ]

-------------------END OF EPISODE-------------------
[ 0.41517168,-0.48378813]

-------------------END OF EPISODE-------------------
[-0.5972127, 1.806123 ]

-------------------END OF EPISODE-------------------
[-0.6614374, 1.0891143]

-------------------END OF EPISODE-------------------
[-0.16115819, 0.2794823 ]

-------------------END OF EPISODE-------------------
[ 0.5106794,-1.1430213]

-------------------END OF EPISODE-------------------
[-1.2968347,-2.4098291]

-------------------END OF EPISODE-------------------
[-0.47819754, 0.4447229 ]

-------------------END OF EPISODE-------------------
[ 0.23140919,-0.3241696 ]

-------------------END OF EPISODE-------------------
[-0.50342876,-0.58844036]

-------------------END OF EPISODE-------------------
[-1.3566232, 0.2029369]

-------------------END OF EPISODE-------------------
[ 0.30089  ,-2.6144571]

-------------------END OF EPISODE-------------------
[1.4247983,1.097466 ]

-------------------END OF EPISODE-------------------
[-0.26325977,-2.652402  ]

-------------------END OF EPISODE-------------------
[0.23400015,0.18478659]

-------------------END OF EPISODE-------------------
[-2.3100433 , 0.57916135]

-------------------END OF EPISODE-------------------
[ 1.5492947,-0.770876 ]

-------------------END OF EPISODE-------------------
[-0.48194155, 0.382686  ]

-------------------END OF EPISODE-------------------
[ 0.23084417,-0.9983641 ]

-------------------END OF EPISODE-------------------
[ 0.21164587,-0.25530335]

-------------------END OF EPISODE-------------------
[0.5378145,1.1396698]

-------------------END OF EPISODE-------------------
[ 0.5030973,-1.116709 ]

-------------------END OF EPISODE-------------------
[-0.13829207, 1.5154015 ]

-------------------END OF EPISODE-------------------
[-1.0721067, 1.335383 ]

-------------------END OF EPISODE-------------------
[-0.32458565, 0.06000888]

-------------------END OF EPISODE-------------------
[0.44442564,0.30422252]

-------------------END OF EPISODE-------------------
[-0.07091014,-0.85836756]

-------------------END OF EPISODE-------------------
[0.34019202,1.0311365 ]

-------------------END OF EPISODE-------------------
[-0.0954444 ,-0.26213884]

-------------------END OF EPISODE-------------------
[ 0.4071536,-1.4382968]

-------------------END OF EPISODE-------------------
[-0.1761351 , 0.15868415]

-------------------END OF EPISODE-------------------
[-1.9903086, 1.0362502]

-------------------END OF EPISODE-------------------
[-0.30703324, 0.5139053 ]

-------------------END OF EPISODE-------------------
[0.5454714,0.1747923]

-------------------END OF EPISODE-------------------
[-0.46707094,-0.81583905]

-------------------END OF EPISODE-------------------
[0.06284498,1.3283173 ]

-------------------END OF EPISODE-------------------
[-0.97377497,-0.06745394]

-------------------END OF EPISODE-------------------
[1.0719237 ,0.09800147]

-------------------END OF EPISODE-------------------
[ 1.0166533 ,-0.05424548]

-------------------END OF EPISODE-------------------
[ 0.4425797,-0.5471062]

-------------------END OF EPISODE-------------------
[-0.3414822 , 0.15973778]

-------------------END OF EPISODE-------------------
[-0.8477994 , 0.11515716]

-------------------END OF EPISODE-------------------
[-0.78084314,-0.52773374]

-------------------END OF EPISODE-------------------
[0.42396685,1.1790718 ]

-------------------END OF EPISODE-------------------
[-0.20326214,-1.9079989 ]

-------------------END OF EPISODE-------------------
[ 0.86421347,-1.0816426 ]

-------------------END OF EPISODE-------------------
[-0.44497073,-0.32325575]

-------------------END OF EPISODE-------------------
[-2.5182967,-2.9323792]

-------------------END OF EPISODE-------------------
[-1.980035 , 1.7404228]

-------------------END OF EPISODE-------------------
[ 0.3844449,-1.0926667]

-------------------END OF EPISODE-------------------
[-3.0716681 , 0.71832275]

-------------------END OF EPISODE-------------------
[ 2.3610108,-1.4903432]

-------------------END OF EPISODE-------------------
